,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,0,ZA,1558416808,88,-34.42,19.24,12.78,0.45
1,Valuyki,73,RU,1558402429,74,50.21,38.1,15.25,3.61
2,Skjervoy,75,NO,0,75,70.03,20.97,8.0,6.2
3,Goure,99,NE,1558414262,25,13.98,10.27,36.25,2.66
4,Khatanga,36,RU,0,95,71.98,102.47,-7.05,5.28
5,Coxim,27,BR,1558432811,32,-18.5,-54.75,32.15,1.64
6,Atuona,22,PF,1558452230,75,-9.8,-139.03,27.55,6.4
7,San Patricio,90,PY,1558434186,90,-26.98,-56.83,22.05,2.44
8,Bluff,0,AU,1558470817,90,-23.58,149.07,15.45,4.43
9,Mataura,67,NZ,1558469172,83,-46.19,168.86,10.0,1.34
10,Qaanaaq,69,GL,0,76,77.48,-69.36,-2.95,1.24
11,Iranshahr,75,IR,1558400791,38,27.21,60.69,31.0,7.2
12,Sao Joao da Barra,20,BR,1558429834,51,-21.64,-41.05,30.0,2.97
13,Inuvik,20,CA,1558432103,44,68.36,-133.71,14.0,4.6
14,Castro,40,CL,1558440319,70,-42.48,-73.76,9.0,4.1
15,Salalah,40,OM,1558403452,74,17.01,54.1,30.0,3.6
16,Bredasdorp,0,ZA,1558416630,76,-34.53,20.04,13.0,3.1
17,Hilo,90,US,1558453377,88,19.71,-155.08,26.11,3.1
18,Ancud,40,CL,1558440235,70,-41.87,-73.83,9.0,4.1
19,Mount Gambier,0,AU,1558474534,93,-37.83,140.78,10.0,5.1
20,Hamilton,20,CA,1558432206,39,43.26,-79.87,19.44,4.1
21,Codrington,90,AU,1558470405,93,-28.95,153.24,13.89,2.1
22,Lagoa,0,PT,1558416084,60,37.14,-8.45,23.33,7.7
23,Grand Forks,1,US,1558435386,34,47.91,-97.06,21.0,4.6
24,Barrow,100,AR,1558436424,45,-38.31,-60.23,13.45,3.41
25,Pacific Grove,1,US,1558443381,72,36.62,-121.92,16.11,8.2
26,Punta Arenas,75,CL,1558441865,75,-53.16,-70.91,8.0,15.4
27,Souillac,0,FR,1558412743,63,45.6,-0.6,19.0,3.6
28,Busselton,44,AU,1558480072,69,-33.64,115.35,7.22,4.8
29,Kloulklubed,7,PW,1558471542,70,7.04,134.26,29.15,3.6
30,Severo-Kurilsk,100,RU,1558460336,86,50.68,156.12,4.45,14.07
31,Bambous Virieux,75,MU,1558405982,73,-20.34,57.76,24.0,1.5
32,Laguna,5,MX,1558441711,14,27.52,-110.01,28.0,3.1
33,Coihaique,0,CL,1558440458,65,-45.58,-72.07,8.0,3.1
34,Hirara,0,JP,1558471944,53,24.8,125.28,24.35,5.63
35,Haines Junction,34,CA,1558440759,37,60.75,-137.51,15.65,0.89
36,Georgetown,40,GY,1558431345,74,6.8,-58.16,30.0,6.2
37,Jamestown,0,AU,1558474435,43,-33.21,138.6,15.25,1.75
38,Albany,75,US,1558430849,42,42.65,-73.75,18.89,9.8
39,De-Kastri,94,RU,1558463806,98,51.48,140.77,6.85,3.75
40,Thompson,20,CA,1558433398,16,55.74,-97.86,21.0,4.1
41,Cheney,1,US,1558440401,44,47.49,-117.58,18.89,3.1
42,Pangnirtung,75,CA,1558419498,55,66.15,-65.72,0.0,5.7
43,Yellowknife,75,CA,1558434233,52,62.45,-114.38,7.0,7.2
44,Geraldton,75,CA,1558432537,25,49.72,-86.95,18.0,3.6
45,Oyek,0,RU,1558472203,49,52.59,104.46,9.0,3.0
46,Boguchany,31,RU,1558471853,88,58.38,97.46,5.45,2.93
47,Nome,90,US,1558437668,70,30.04,-94.42,31.11,6.7
48,Chuy,100,UY,1558434171,87,-33.69,-53.46,18.05,12.82
49,Mayor Pablo Lagerenza,100,PY,1558434397,94,-19.93,-60.77,21.85,2.02
50,Maamba,0,ZM,1558413024,50,-17.36,27.22,18.75,1.85
51,Hobart,40,AU,1558473746,81,-42.88,147.33,13.33,1.4
52,Ushuaia,85,AR,1558441703,76,-54.81,-68.31,8.25,5.79
53,Arraial do Cabo,20,BR,1558430202,74,-22.97,-42.02,27.0,2.1
54,Bathsheba,75,BB,1558431082,70,13.22,-59.52,29.0,7.2
55,Mayo,40,CA,1558438610,30,63.59,-135.9,21.0,5.1
56,Leningradskiy,12,RU,0,81,69.38,178.42,-3.35,3.58
57,Hami,6,CN,1558477045,8,42.84,93.51,24.15,4.8
58,Ponta do Sol,0,BR,1558430921,58,-20.63,-46.0,23.55,3.14
59,Tabou,100,CI,1558419366,80,4.42,-7.36,27.55,1.99
60,Lafiagi,100,NG,1558415902,52,8.85,5.42,31.15,2.11
61,Vao,72,EE,1558402332,88,59.1,26.19,16.95,2.03
62,Panama City,1,US,1558435549,54,30.16,-85.65,31.67,5.7
63,San Vicente,40,SV,1558438063,70,13.64,-88.78,31.0,3.1
64,Timmins,40,CA,1558431484,33,48.48,-81.33,17.0,3.6
65,Tigre,90,AR,1558435494,72,-34.42,-58.58,16.11,3.6
66,Cabo San Lucas,5,MX,1558442205,50,22.89,-109.91,29.0,4.32
67,Vaini,44,IN,1558485110,85,15.34,74.49,27.65,0.91
68,Kodiak,75,US,1558436351,87,39.95,-94.76,11.11,9.8
69,Kapaa,1,US,1558454147,74,22.08,-159.32,27.0,2.6
70,Tasiilaq,90,GL,1558413353,84,65.61,-37.64,4.0,10.3
71,Alice Springs,0,AU,1558474477,87,-23.7,133.88,13.0,2.1
72,Nikolskoye,40,RU,1558400952,72,59.7,30.79,19.0,3.0
73,Pevek,100,RU,0,93,69.7,170.27,-4.65,3.1
74,Husavik,3,CA,1558434735,16,50.56,-96.99,22.78,2.34
75,Bontang,26,ID,1558476190,99,0.12,117.47,23.15,1.04
76,East London,0,ZA,1558414548,62,-33.02,27.91,13.0,4.1
77,Plettenberg Bay,0,ZA,1558415769,63,-34.05,23.37,12.35,1.3
78,Eagle Pass,1,MX,1558439288,20,28.71,-100.5,31.0,4.6
79,Kokopo,100,PG,1558468232,97,-4.34,152.27,21.65,0.9
80,Rikitea,72,PF,1558452533,62,-23.12,-134.97,22.95,2.7
81,Tiarei,75,PF,1558455422,66,-17.53,-149.33,29.0,5.7
82,Superior,90,US,1558438848,80,39.95,-105.17,5.56,4.6
83,Torbay,90,CA,1558424810,93,47.66,-52.73,6.0,4.6
84,Mahebourg,75,MU,1558406003,73,-20.41,57.7,24.0,1.5
85,Lensk,44,RU,1558466560,71,60.71,114.91,8.85,2.36
86,Tomatlan,0,MX,1558441397,43,19.93,-105.25,32.35,3.41
87,Portland,75,US,1558442036,63,45.52,-122.67,17.78,3.1
88,Upernavik,93,GL,0,84,72.79,-56.15,0.35,0.62
89,Kaitangata,80,NZ,1558468951,75,-46.28,169.85,9.25,3.99
90,Los Llanos de Aridane,20,ES,1558419481,68,28.66,-17.92,21.0,5.1
91,Ivybridge,0,GB,1558412460,63,50.39,-3.92,18.33,2.6
92,Haldwani,60,IN,1558482406,33,29.22,79.53,20.25,2.08
93,Bethel,90,US,1558446548,75,60.79,-161.76,9.0,3.94
94,Norman Wells,75,CA,1558435028,61,65.28,-126.83,10.0,6.7
95,Port Alfred,0,ZA,1558414865,81,-33.59,26.89,13.33,0.89
96,Otjimbingwe,0,NA,1558416178,22,-22.35,16.13,21.55,0.87
97,Hithadhoo,100,MV,1558400503,74,-0.6,73.08,29.05,4.35
98,Puri,69,ID,1558478076,87,-7.54,112.45,23.75,2.57
99,Shenkursk,36,RU,1558396760,65,62.11,42.91,8.35,0.8
100,Butaritari,100,KI,1558462651,75,3.07,172.79,28.65,1.78
101,Saskylakh,79,RU,0,95,71.97,114.09,-6.45,4.58
102,Te Anau,95,NZ,1558469298,92,-45.41,167.72,6.65,2.09
103,Klaksvik,76,FO,1558408546,87,62.23,-6.59,9.0,4.6
104,Santa Maria,75,BR,1558433768,78,-29.69,-53.81,22.0,2.6
105,Victor Harbor,0,AU,1558474736,81,-35.55,138.62,12.22,2.1
106,Odienne,93,CI,1558418959,59,9.51,-7.57,30.45,2.25
107,Prince Rupert,90,CA,1558441655,93,54.32,-130.32,10.0,2.1
108,Avera,1,US,1558434411,40,33.19,-82.53,34.44,0.63
109,Diapaga,67,BF,1558416476,28,12.07,1.79,36.15,1.98
110,Umm Kaddadah,36,SD,1558410357,7,13.6,26.69,30.55,3.05
111,Dingle,40,PH,1558473960,80,11.0,122.67,26.05,1.57
